subjec1 ID,ID,Result,Reviewer,Type,Criterion
Subj_08,8,0,2,20,3
Subj_09,9,0,2,20,3
Subj_10,10,0,2,20,3
Subj_11,11,0,2,20,3
Subj_12,12,0,2,20,3
Subj_14,14,1,2,20,3
Subj_16,16,1,2,20,3
Subj_17,17,1,2,20,3
Subj_18,18,1,2,20,3
Subj_19,19,1,2,20,3
Subj_21,21,0,2,20,3
Subj_22,22,0,2,20,3
Subj_24,24,1,2,20,3
Subj_25,25,0,2,20,3
Subj_26,26,1,2,20,3
Subj_27,27,1,2,20,3
Subj_30,30,0,2,20,3
Subj_31,31,0,2,20,3
Subj_32,32,1,2,20,3
Subj_33,33,0,2,20,3
Subj_35,35,1,2,20,3
Subj_37,37,1,2,20,3
Subj_39,39,0,2,20,3
Subj_40,40,1,2,20,3
Subj_41,41,1,2,20,3
Subj_43,43,1,2,20,3
Subj_45,45,1,2,20,3
Subj_46,46,1,2,20,3
Subj_48,48,0,2,20,3
Subj_49,49,1,2,20,3
Subj_50,50,1,2,20,3
Subj_51,51,0,2,20,3
Subj_52,52,0,2,20,3
Subj_53,53,1,2,20,3
Subj_55,55,0,2,20,3
Subj_56,56,0,2,20,3
Subj_58,58,1,2,20,3
Subj_01,1,1,2,50,1
Subj_03,3,0,2,50,1
Subj_04,4,0,2,50,1
Subj_05,5,0,2,50,1
Subj_06,6,0,2,50,1
Subj_07,7,0,2,50,1
Subj_08,8,0,2,50,1
Subj_09,9,1,2,50,1
Subj_10,10,0,2,50,1
Subj_11,11,0,2,50,1
Subj_12,12,1,2,50,1
Subj_14,14,1,2,50,1
Subj_16,16,1,2,50,1
Subj_17,17,1,2,50,1
Subj_18,18,0,2,50,1
Subj_19,19,0,2,50,1
Subj_21,21,0,2,50,1
Subj_22,22,0,2,50,1
Subj_24,24,1,2,50,1
Subj_25,25,0,2,50,1
Subj_26,26,0,2,50,1
Subj_27,27,0,2,50,1
Subj_30,30,0,2,50,1
Subj_31,31,0,2,50,1
Subj_32,32,0,2,50,1
Subj_33,33,0,2,50,1
Subj_35,35,1,2,50,1
Subj_37,37,0,2,50,1
Subj_39,39,1,2,50,1
Subj_40,40,1,2,50,1
Subj_41,41,0,2,50,1
Subj_43,43,0,2,50,1
Subj_45,45,0,2,50,1
Subj_46,46,0,2,50,1
Subj_48,48,0,2,50,1
Subj_49,49,0,2,50,1
Subj_50,50,1,2,50,1
Subj_51,51,1,2,50,1
Subj_52,52,1,2,50,1
Subj_53,53,1,2,50,1
Subj_55,55,1,2,50,1
Subj_56,56,0,2,50,1
Subj_58,58,0,2,50,1
Subj_01,1,1,2,50,2
Subj_03,3,0,2,50,2
Subj_04,4,0,2,50,2
Subj_05,5,0,2,50,2
Subj_06,6,1,2,50,2
Subj_07,7,0,2,50,2
Subj_08,8,0,2,50,2
Subj_09,9,1,2,50,2
Subj_10,10,0,2,50,2
Subj_11,11,0,2,50,2
Subj_12,12,1,2,50,2
Subj_14,14,1,2,50,2
Subj_16,16,1,2,50,2
Subj_17,17,1,2,50,2
Subj_18,18,1,2,50,2
Subj_19,19,0,2,50,2
Subj_21,21,0,2,50,2
Subj_22,22,0,2,50,2
Subj_24,24,1,2,50,2
Subj_25,25,0,2,50,2
Subj_26,26,1,2,50,2
Subj_27,27,1,2,50,2
Subj_30,30,0,2,50,2
Subj_31,31,1,2,50,2
Subj_32,32,0,2,50,2
Subj_33,33,1,2,50,2
Subj_35,35,1,2,50,2
Subj_37,37,0,2,50,2
Subj_39,39,1,2,50,2
Subj_40,40,1,2,50,2
Subj_41,41,1,2,50,2
Subj_43,43,0,2,50,2
Subj_45,45,1,2,50,2
Subj_46,46,0,2,50,2
Subj_48,48,0,2,50,2
Subj_49,49,1,2,50,2
Subj_50,50,1,2,50,2
Subj_51,51,1,2,50,2
Subj_52,52,1,2,50,2
Subj_53,53,1,2,50,2
Subj_55,55,1,2,50,2
Subj_56,56,0,2,50,2
Subj_58,58,0,2,50,2
Subj_01,1,1,2,50,3
Subj_03,3,0,2,50,3
Subj_04,4,0,2,50,3
Subj_05,5,1,2,50,3
Subj_06,6,1,2,50,3
Subj_07,7,0,2,50,3
Subj_08,8,0,2,50,3
Subj_09,9,1,2,50,3
Subj_10,10,0,2,50,3
Subj_11,11,0,2,50,3
Subj_12,12,1,2,50,3
